iter	Passed	Remaining
832	1984	397
833	1986	395
834	1987	392
835	1989	390
836	1991	387
837	1993	385
838	1995	382
839	1997	380
840	1999	378
841	2001	375
842	2003	373
843	2004	370
844	2006	368
845	2008	365
846	2010	363
847	2012	360
848	2014	358
849	2016	355
850	2018	353
851	2020	350
852	2022	348
853	2024	346
854	2026	343
855	2028	341
856	2030	338
857	2032	336
858	2034	333
859	2036	331
860	2037	329
861	2039	326
862	2041	324
863	2043	321
864	2045	319
865	2047	316
866	2049	314
867	2051	311
868	2053	309
869	2055	307
870	2057	304
871	2059	302
872	2061	299
873	2064	297
874	2066	295
875	2068	292
876	2070	290
877	2072	287
878	2074	285
879	2075	283
880	2077	280
881	2079	278
882	2081	275
883	2083	273
884	2085	271
885	2087	268
886	2089	266
887	2091	263
888	2093	261
889	2095	258
890	2097	256
891	2099	254
892	2101	251
893	2103	249
894	2105	246
895	2107	244
896	2110	242
897	2112	239
898	2116	237
899	2119	235
900	2122	233
901	2124	230
902	2126	228
903	2129	226
904	2136	224
905	2138	221
906	2141	219
907	2144	217
908	2147	214
909	2150	212
910	2153	210
911	2156	208
912	2158	205
913	2163	203
914	2166	201
915	2168	198
916	2171	196
917	2174	194
918	2181	192
919	2184	189
920	2187	187
921	2189	185
922	2194	183
923	2197	180
924	2199	178
925	2202	176
926	2205	173
927	2208	171
928	2211	169
929	2214	166
930	2217	164
931	2220	161
932	2223	159
933	2226	157
934	2228	154
935	2231	152
936	2234	150
937	2236	147
938	2239	145
939	2241	143
940	2243	140
941	2247	138
942	2250	136
943	2257	133
944	2260	131
945	2263	129
946	2265	126
947	2267	124
948	2270	121
949	2272	119
950	2274	117
951	2276	114
952	2278	112
953	2280	109
954	2281	107
955	2284	105
956	2286	102
957	2289	100
958	2291	97
959	2293	95
960	2295	93
961	2297	90
962	2301	88
963	2303	86
964	2305	83
965	2307	81
966	2308	78
967	2310	76
968	2312	73
969	2315	71
970	2317	69
971	2319	66
972	2321	64
973	2323	62
974	2325	59
975	2327	57
976	2329	54
977	2332	52
978	2333	50
979	2335	47
980	2338	45
981	2339	42
982	2341	40
983	2344	38
984	2346	35
985	2348	33
986	2350	30
987	2352	28
988	2354	26
989	2356	23
990	2358	21
991	2360	19
992	2362	16
993	2363	14
994	2366	11
995	2368	9
996	2370	7
997	2372	4
998	2374	2
999	2376	0
